"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.092236450E-1,-3.007465601E-2,-1.104949694E-2,-6.045341492E-3,3.260555889E-2
8.141996350E-1,2.436691523E-2,-4.972302169E-2,-5.331134796E-2,7.686498074E-2
8.191756240E-1,7.303971052E-2,-9.294918925E-2,-1.191425323E-1,1.678371059E-1
8.241516140E-1,1.350374818E-1,-1.263905317E-1,-1.416559219E-1,2.329722906E-1
8.291276030E-1,2.011644840E-1,-1.359804273E-1,-1.259860992E-1,2.735513177E-1
8.341035930E-1,2.052677274E-1,-1.458118558E-1,-1.057119370E-1,2.730768222E-1
8.390795820E-1,1.578246951E-1,-1.702148169E-1,-2.866840363E-2,2.338879981E-1
8.440555720E-1,9.271031618E-2,-1.568239778E-1,9.990882874E-2,2.077756887E-1
8.490315620E-1,2.901452780E-2,-1.391317546E-1,1.561317444E-1,2.111317351E-1
8.540075510E-1,-3.322267532E-2,-7.427587360E-2,1.738395691E-1,1.919396971E-1
8.589835410E-1,-1.225556433E-1,-4.786766320E-2,1.913442612E-1,2.322150408E-1
8.639595300E-1,-1.824460924E-1,-3.094414063E-2,1.849489212E-1,2.616299293E-1
8.689355200E-1,-1.758210957E-1,1.461655181E-2,1.406478882E-1,2.256291863E-1
8.739115100E-1,-1.702294052E-1,2.229934931E-2,2.555084229E-2,1.735746436E-1
8.788874990E-1,-1.565777957E-1,5.894375965E-2,-9.324741364E-2,1.915360360E-1
8.838634890E-1,-9.704840183E-2,8.615919948E-2,-1.539783478E-1,2.013731152E-1
8.888394780E-1,-4.394727945E-2,8.475930989E-2,-1.571455002E-1,1.838755346E-1
8.938154680E-1,3.345906734E-3,5.488259345E-2,-1.270046234E-1,1.383960568E-1
8.987914570E-1,5.958849192E-2,1.111805253E-2,-1.018505096E-1,1.185239460E-1
9.037674470E-1,1.583054066E-1,2.017346956E-2,-5.792331696E-2,1.697724397E-1
9.087434370E-1,3.038392663E-1,1.033325586E-2,-3.336238861E-2,3.058400315E-1
9.137194260E-1,4.008300304E-1,4.807635024E-2,4.844665527E-4,4.037032121E-1
9.186954160E-1,5.068699121E-1,6.625977904E-2,-5.619239807E-2,5.142616569E-1
9.236714050E-1,5.407989621E-1,6.990168989E-2,-1.456317902E-1,5.644097642E-1
9.286473950E-1,4.796814919E-1,4.983957484E-2,-1.583595276E-1,5.075983223E-1
9.336233850E-1,3.674061894E-1,2.047271840E-2,-7.129859924E-2,3.748198641E-1
9.385993740E-1,2.429012060E-1,2.921347134E-2,1.289272308E-1,2.765441260E-1
9.435753640E-1,9.687405825E-2,6.586900353E-2,3.463954926E-1,3.656680818E-1
9.485513530E-1,-9.433686733E-3,1.012704223E-1,2.771062851E-1,2.951822930E-1
9.535273430E-1,-1.203238368E-1,1.264785230E-1,-3.471250534E-1,3.885491541E-1
9.585033320E-1,-2.221288979E-1,1.432738900E-1,-1.099019051E0,1.130359026E0
9.634793220E-1,-2.863780558E-1,1.762316227E-1,-8.188829422E-1,8.852340079E-1
9.684553120E-1,-3.884350657E-1,1.808001399E-1,-3.511152267E-1,5.539425903E-1
9.734313010E-1,-3.645356297E-1,1.852272302E-1,-1.817712784E-1,4.474775411E-1
9.784072910E-1,-3.218922019E-1,1.176269501E-1,6.224660873E-1,7.105735141E-1
9.833832800E-1,-2.627178729E-1,3.444750607E-2,9.643030167E-1,1.000043809E0
9.883592700E-1,-6.808131933E-2,2.540191635E-3,5.864019394E-1,5.903462993E-1
9.933352600E-1,4.926377535E-2,1.734481752E-2,2.591228485E-1,2.643339041E-1
9.983112490E-1,-2.900671959E-2,-1.136999577E-2,-2.743568420E-1,2.761201611E-1
1.003287239E0,-2.116587162E-1,-1.251462400E-1,-4.899435043E-1,5.481839390E-1
1.008263228E0,-3.121176064E-1,-2.183676511E-1,-3.380899429E-1,5.093197824E-1
1.013239218E0,-3.913109601E-1,-2.532055378E-1,7.077217102E-3,4.661409645E-1
1.018215207E0,-5.292186737E-1,-3.252637386E-1,2.352237701E-1,6.642282185E-1
1.023191197E0,-6.915988922E-1,-4.147658348E-1,1.668395996E-1,8.235139206E-1
