"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.398309964E0,1.359748840E-2,1.190578938E-2,-5.035400391E-4,1.808018429E-2
1.403285641E0,8.986592293E-3,1.191793382E-2,-5.279541016E-3,1.583254689E-2
1.408261318E0,-9.883880615E-3,1.668454707E-2,-5.130767822E-4,1.939918696E-2
1.413236995E0,-3.083944321E-4,1.654841006E-2,-5.092620850E-4,1.655911623E-2
1.418212672E0,9.083747864E-3,3.531107306E-2,1.375579834E-2,3.896932568E-2
1.423188349E0,8.848071098E-3,2.068397403E-2,-1.482868195E-2,2.694447906E-2
1.428164026E0,3.712177277E-3,1.572695374E-2,-2.891254425E-2,3.312178361E-2
1.433139703E0,1.301825047E-2,6.216317415E-3,-3.340435028E-2,3.638637197E-2
1.438115380E0,8.154869080E-3,2.062982321E-2,-4.737663269E-2,5.231287433E-2
1.443091057E0,1.288151741E-2,6.426140666E-3,-3.274631500E-2,3.577079704E-2
1.448066734E0,2.241718769E-2,-7.647037506E-3,-1.350212097E-2,2.726379939E-2
1.453042411E0,3.197693825E-2,6.881996989E-3,8.211135864E-4,3.271942374E-2
1.458018089E0,4.150819778E-2,1.649026573E-2,1.502037048E-2,4.712187259E-2
1.462993766E0,3.191483021E-2,7.075652480E-3,3.385448456E-2,4.706110251E-2
1.467969443E0,2.725112438E-2,1.663720608E-2,2.403068542E-2,3.996115924E-2
1.472945120E0,4.162025452E-2,2.274185419E-3,2.378749847E-2,4.799231802E-2
1.477920797E0,4.162538052E-2,-7.329106331E-3,1.405239105E-2,4.454051860E-2
